                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.7723,                 1.5839,                 0.8836,                0.49443,                0.27723,                0.27296,                0.06752,                 2.5548,                 1.6632,                0.82267,               0.001307,               0.001307,               0.001307
                     37,                 2.5801,                 1.5835,                0.87084,                0.68837,                0.32808,                0.40694,                0.14488,                 2.1697,                 1.9128,                0.79731,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.6699,                 1.6657,                0.88144,                0.70388,                0.33663,                0.35559,                0.13503,                 2.2065,                  1.715,                0.79744,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.5528,                 1.5653,                0.87144,                0.75497,                0.42574,                0.47425,                0.15188,                 2.1843,                   1.59,                0.77627,              0.0012476,              0.0012476,              0.0012476
                     40,                  2.699,                 1.6114,                0.85313,                0.63828,                0.40187,                0.40478,                0.13147,                 2.1387,                 1.5022,                0.79777,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.6309,                 1.6045,                 0.8825,                0.61511,                0.17822,                0.26256,                0.09347,                 2.5754,                 2.1387,                 0.7983,               0.001208,               0.001208,               0.001208
                     42,                 2.5852,                 1.4982,                0.88107,                0.76862,                0.32673,                0.46626,                0.16698,                 2.4537,                 1.7244,                0.80493,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.4495,                 1.3808,                0.86405,                0.72642,                0.47525,                0.53498,                0.15972,                 2.2177,                 1.9571,                0.73838,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.4931,                 1.5214,                0.86346,                0.51646,                0.44554,                0.40223,                0.09589,                 2.7129,                 1.5031,                 0.8068,              0.0011486,              0.0011486,              0.0011486
                     45,                   2.62,                 1.5178,                0.86773,                0.71177,                0.40594,                0.46784,                0.15996,                 2.4527,                 1.3388,                0.81129,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.5639,                 1.4414,                0.85775,                0.60232,                0.41584,                0.45537,                0.13545,                 2.4874,                 1.2171,                0.80117,               0.001109,               0.001109,               0.001109
                     47,                 2.5864,                 1.4368,                0.87539,                0.80294,                0.47525,                0.53811,                0.17671,                 2.2797,                 1.1525,                0.79781,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.5318,                 1.3171,                0.87083,                0.80511,                0.44997,                0.56393,                0.21168,                 2.2115,                 1.1645,                0.80123,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.5999,                 1.2969,                0.86338,                 0.7048,                0.43564,                0.50623,                0.16445,                 2.1541,                 1.5139,                0.77354,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.7644,                 1.5325,                 0.8666,                0.81246,                0.27723,                0.42122,                0.15464,                 2.5685,                 2.4731,                0.82298,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.5045,                 1.4347,                0.86174,                 0.6777,                0.42574,                0.45755,                0.17153,                 2.2998,                 1.2813,                0.80772,                0.00101,                0.00101,                0.00101
                     52,                 2.3558,                 1.2774,                 0.8522,                0.66367,                0.41584,                0.45548,                 0.1287,                 2.4766,                 1.4648,                0.80835,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.4264,                 1.3649,                0.86365,                0.76407,                0.46535,                0.54333,                0.19033,                 2.1652,                 1.3323,                0.79115,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.5143,                 1.2964,                0.84118,                0.72674,                0.32673,                0.45912,                 0.1543,                 2.6774,                 1.4874,                0.81107,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.4695,                 1.3014,                0.85866,                0.76346,                0.46535,                0.53579,                0.18353,                 2.2742,                 1.1897,                0.79422,              0.0009308,              0.0009308,              0.0009308
                     56,                  2.488,                 1.3731,                0.85652,                0.78524,                0.39604,                0.47573,                0.17426,                 2.2209,                 1.1735,                0.79583,               0.000911,               0.000911,               0.000911
                     57,                 2.3161,                 1.2875,                0.85438,                0.75757,                0.46535,                0.55522,                0.18081,                 2.4343,                  1.368,                0.80425,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.3375,                 1.1841,                0.85424,                0.79167,                0.52475,                0.56237,                0.18152,                 2.2034,                 1.4302,                0.79798,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.4285,                 1.2535,                   0.86,                0.68327,                0.53399,                0.52423,                0.20486,                 2.1675,                 1.2571,                0.79443,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.3809,                 1.3482,                 0.8435,                0.77421,                 0.4414,                0.59152,                0.19316,                 2.3729,                 1.2111,                0.79362,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.3884,                  1.225,                0.83589,                0.68989,                0.52475,                0.57297,                0.21519,                 2.0535,                 1.3385,                0.77548,               0.000812,               0.000812,               0.000812
                     62,                 2.2124,                 1.1053,                0.84381,                 0.7789,                0.52475,                0.61941,                0.23495,                 2.2944,                 1.1494,                0.80914,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.2632,                 1.1524,                 0.8676,                0.71847,                0.52475,                 0.5703,                 0.2018,                 2.2098,                 1.0946,                0.77509,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.3769,                 1.1741,                0.87066,                0.74073,                0.51485,                0.55067,                0.21434,                 2.2741,                  1.217,                0.80868,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.3659,                 1.2189,                0.84889,                 0.7517,                0.47525,                0.58581,                 0.1964,                 2.2658,                 1.2913,                 0.7729,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.4393,                 1.2361,                0.85474,                0.68388,                0.49505,                0.53435,                 0.2186,                 1.9728,                 1.1855,                0.79258,               0.000713,               0.000713,               0.000713
                     67,                 2.3548,                 1.1471,                0.86909,                0.74765,                0.47525,                0.56678,                0.21462,                 1.9479,                 1.0214,                0.75376,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.2926,                 1.1693,                0.85966,                0.74032,                0.53631,                0.59796,                0.22471,                  1.919,                 1.0214,                0.76376,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.2433,                 1.1384,                0.85538,                0.72087,                0.51485,                0.56067,                0.21848,                 2.0945,                 1.0676,                0.79812,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.2264,                 1.0797,                0.84301,                0.74992,                0.48515,                0.60507,                0.24604,                 2.2515,                 1.1477,                0.80117,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.2698,                 1.2061,                0.84856,                0.82656,                0.54455,                0.62347,                0.25246,                  2.073,                 1.2583,                0.78387,               0.000614,               0.000614,               0.000614
                     72,                 2.2982,                 1.2275,                 0.8585,                 0.8183,                 0.5351,                0.63748,                0.23033,                 2.1812,                 1.1377,                0.79126,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.3918,                 1.2722,                0.84022,                 0.7484,                0.50071,                0.56997,                0.23495,                 2.0572,                 1.0489,                0.77727,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.2461,                 1.2332,                0.83335,                0.72439,                0.46845,                0.55324,                0.21941,                 2.1855,                 1.3679,                 0.7927,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.4013,                 1.2344,                 0.8582,                0.71625,                0.48515,                0.55431,                0.23197,                 2.0026,                 1.4171,                0.76869,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.2918,                   1.14,                0.85858,                0.71126,                0.42574,                0.52313,                0.18587,                 2.3232,                  1.311,                0.78237,               0.000515,               0.000515,               0.000515
                     77,                 2.1907,                 1.1477,                0.84932,                0.80146,                0.52475,                0.60094,                0.23338,                 2.1703,                 1.0945,                0.79791,              0.0004952,              0.0004952,              0.0004952
